startImage,endImage,AB,PracticeTrialsLoop.thisRepN,PracticeTrialsLoop.thisTrialN,PracticeTrialsLoop.thisN,PracticeTrialsLoop.thisIndex,TestTrialsLoop.thisRepN,TestTrialsLoop.thisTrialN,TestTrialsLoop.thisN,TestTrialsLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,DepressionQuestionnaire.index,DepressionQuestionnaire.itemText,DepressionQuestionnaire.type,DepressionQuestionnaire.Scoring,DepressionQuestionnaire.response,DepressionQuestionnaire.rt,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,instructionsText.started,instructionsText.stopped,nextScreen.keys,nextScreen.rt,nextScreen.started,nextScreen.stopped,stimulusInterval,hasPeriphery.started,hasPeriphery.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,noPeriphery.started,noPeriphery.stopped,text.started,text.stopped,hasPeriphery_2.started,hasPeriphery_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,noPeriphery_2.started,noPeriphery_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,12.570797599997604,None,Sadness,Sadness,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
,,,,,,,,,,,,,Pessimism,Pessimism,choice,"0,1,2,3",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
,,,,,,,,,,,,,,,,,,,14.654316500003915,None,1,[0.8676697000046261],[0.867674100009026],15.487949799979106,None,space,0.40686920000007376,15.487949799979106,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1a.png,a,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2,16.153821299987612,None,space,1.3659622000122909,16.153821299987612,None,16.153821299987612,None,16.153821299987612,None,,,,,,,,,,,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\1b.png,b,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,17.821356000000378,None,space,0.19407460000365973,17.821356000000378,None,17.821356000000378,None,17.821356000000378,None,,,,,,,,,,,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2a.png,a,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,18.370669199997792,None,space,0.20511640000040643,18.370669199997792,None,18.370669199997792,None,18.370669199997792,None,,,,,,,,,,,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\2b.png,b,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,3,18.853808299987577,None,space,0.14551800000481308,18.853808299987577,None,18.853808299987577,None,18.853808299987577,None,,,,,,,,,,,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3a.png,a,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,2,19.220629999996163,None,space,0.2506162000063341,19.220629999996163,None,19.220629999996163,None,19.220629999996163,None,,,,,,,,,,,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\3b.png,b,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,3,19.720188699982828,None,space,0.23154510001768358,19.720188699982828,None,19.720188699982828,None,19.720188699982828,None,,,,,,,,,,,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4a.png,a,,,,,0,0,0,0,20.070948899985524,None,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,22.253704100003233,None,space,2.802554900001269,22.253704100003233,None,22.253704100003233,None,22.253704100003233,None,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4start.png,C:\Users\hesselmann\Desktop\PsychoPyUniformityIllusion\UniformityIllusionPsychoPy\Pics\4b.png,b,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,25.371320399979595,None,space,1.5169670000032056,25.371320399979595,None,25.371320399979595,None,25.371320399979595,None,,001,2021_Jul_22_1517,UniformityIllusion,2021.1.4,60.006036607841914,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
